playCount,publishTime,like,name,description,url,id,cur_date,delta,playcount/delta,playcount/delta_intermediate,playcount/delta_normalize,like/delta,like/delta_intermediate,like/delta_normalize
6771,2017/7/21 13:47,0,Ö©ÖëÏÀ¿¼¼ÝÕÕ½ÌÄãÈçºÎÇÉÃîÍ£³µ²»ÓÃË«ÊÖ,¼ÝÊ»¼¼Êõ³¬ÀÃµÄÖ©ÖëÈË£¬¾¹È»¿ªÖø¸ÖÌúÈËµÄ°ÂµÏ£¬Ã»Ïëµ½Â·ÉÏÈ´Óöµ½...,http://www.iqiyi.com/v_19rr7oucr0.html,0,2018/1/30,192,35,0.16225475,0.16225475,0,0,0
42953,2017/12/4 12:48,24,°ÂµÏÆû³µ¹ã¸æ µ±¼´½«ÁÙ²úµÄÔÐ¸¾Óöµ½×Ô¶¯¼ÝÊ»,ÈÃÎÒÃÇÉèÏëÒ»ÖÖÇé¾°£¬ÕÉ·òÃ¦ÓÚ¹¤×÷£¬¶À×ÔÔÚ¼ÒµÄÔÐ¸¾¼´½«ÁÙ²ú£¬Õâ±¾ÊÇ·Ç³£¼¬ÊÖµÄÄÑÌâ£¬ÏÖÔÚ°ÂµÏÀûÓÃ×Ô¶¯¼ÝÊ»¸øÓèÁË´óÖÚÒ»ÖÖÍêÃÀµÄ½â¾ö·½°¸¡£°ÂµÏ×î½üÐÂÍÆ³öµÄÕâÖ§×Ô¶¯¼ÝÊ»¹ã¸æ£¬ÔÚ¶Ì¶ÌÒ»·ÖÖÓµÄTVCÖÐ¹¹½¨ÁËÒ»¸öÎ´À´Éú»îÖÐµÄ³¡¾°¡£,http://www.iqiyi.com/v_19rre80bjo.html,1,2018/1/30,56,761,3.799862588,1,0.00055875,0.584679818,0.584679818
50707,2014/10/30 15:47,29,¸ãÐ¦´´ÒâÆû³µ¹ã¸æ ÍòÖÚÖõÄ¿µÄ´ó¿éÍ·,¸ãÐ¦´´ÒâÆû³µ¹ã¸æ£¬ÍòÖÚÖõÄ¿µÄ´ó¿éÍ·¡£,http://www.iqiyi.com/v_19rrn2yapg.html,2,2018/1/30,1187,43,0.199953418,0.199953418,0.000571913,0.598453545,0.598453545
15410,2017/8/29 11:12,5,ÂÌ¾ÞÈËºÆ¿ËÂÒÈëìÅ¿áÀ×ÅµÆû³µ¹ã¸æ,ÂÌ¾ÞÈËºÆ¿Ë¾¹ÂÒÈëµ½À×ÅµÆû³µ¹ã¸æÀï,http://www.iqiyi.com/v_19rr8zxplw.html,3,2018/1/30,154,100,0.489074188,0.489074188,0.000324465,0.33952185,0.33952185
6625,2017/8/25 11:44,2,Ì©¹ú¸ÐÈË¹ã¸æÎÚÁúÈÏ´í³µ´øÀ´µÄ°®Çé,µ¥Éí±Ø¿´¹ã¸æ£¬ÐÒ¸£¾ÍÔÚ²»¾­Òâ¼ä,http://www.iqiyi.com/v_19rr88p6dg.html,4,2018/1/30,158,42,0.196715502,0.196715502,0.000301887,0.315896254,0.315896254
6625,2017/8/25 11:44,2,Ì©¹ú¸ÐÈË¹ã¸æÎÚÁúÈÏ´í³µ´øÀ´µÄ°®Çé,µ¥Éí±Ø¿´¹ã¸æ£¬ÐÒ¸£¾ÍÔÚ²»¾­Òâ¼ä,http://www.iqiyi.com/v_19rr88p6dg.html,5,2018/1/30,158,42,0.196715502,0.196715502,0.000301887,0.315896254,0.315896254
75249,2016/7/20 22:17,6,2016³¬ºÃ¿´Æû³µµçÊÓ¹ã¸æ,2016³¬ºÃ¿´Æû³µµçÊÓ¹ã¸æ,http://www.iqiyi.com/v_19rrm7byzw.html,6,2018/1/30,558,135,0.661898846,0.661898846,7.97E-05,0.083435502,0.083435502
4792,2018/1/24 11:41,0,°ÂµÏ¹ã¸æ Ò»Ì×Ë«°å»¬±éÊÀ½ç,"°ÂµÏÕâÖ§4·Ö°ëÖÓ×óÓÒµÄ¹ã¸æÆ¬¶àÒÔº½ÅÄ¾µÍ·Õ¹ÏÖ¡°»¬Ñ©¡±³¡µØµÄ¼èÏÕ£¬´Ó¶ø½øÒ»²½Õ¹ÏÖ Candide Thovex ¸ß³¬µÄ¼¼Êõ¡£µ±È»£¬Æ·ÅÆÖ®ËùÒÔÐ¯ÊÖ»¬Ñ©´óÉñÅÄÉãÕâÖ§¹ã¸æÆ¬£¬Êµ¼ÊÉÏ»¹ÊÇÎªÁËÇ¿µ÷°ÂµÏ Q7ËÄÇý³µµÄÇ¿´ó×¥µØÐÔÄÜ£¬ÄÜ¹»ÔÚËùÓÐµÄ×´¿öÏÂ¶¼ÄÜ´ïµ½×îºÃµÄ×´Ì¬£¨quattro, all conditions are perfect conditions£©¡£",http://www.iqiyi.com/v_19rrfjjx2c.html,7,2018/1/30,6,869,4.343924355,1,0,0,0
211019,2017/11/7 12:12,18,State Farm±£ÏÕ´´Òâ¹ã¸æ£ºÄÎÅ·Ë¹°ÂÌØÂü°ïÄãÃ¦,ÄÎÅ·Ë¹°ÂÌØÂüÔÚÃÀ¹ú´ó±£ÏÕ¹«Ë¾¡¸STATE FARM¡¹µÄÆû³µ±£ÏÕÐû´«»î¶¯CM¶¯»­µÇ³¡,http://www.iqiyi.com/v_19rrdv4xew.html,8,2018/1/30,83,2527,12.65831919,1,8.53E-05,0.089258854,0.089258854
508828,2014/9/23 12:07,100,Æû³µ¶¯»­¹ã¸æ¶ÌÆ¬¡¶ÊÖ¡·,,http://www.iqiyi.com/v_19rrnbs4os.html,9,2018/1/30,1224,416,2.069344129,1,0.00019653,0.205650307,0.205650307
70148,2015/4/16 14:16,29,È¤Î¶´Ì¼¤Æû³µ¹ã¸æÆ¬£ºÄã²»ÊÇÒ»¸öÈËÔÚÕ½¶·£¡,,http://www.iqiyi.com/v_19rrnu9lqo.html,10,2018/1/30,1019,69,0.330850472,0.330850472,0.000413412,0.432596566,0.432596566
573839,2012/12/21 11:15,458,À¼²©»ùÄá2012ÊÀ½çÄ©ÈÕ´´Òâ¹ã¸æ,,http://www.iqiyi.com/ad/20121221/18bc7b6a81f9ab3c.html,11,2018/1/30,1866,308,1.528132746,1,0.000798133,0.83517172,0.83517172
24987,2017/10/16 20:17,3,Ã·ÈüµÂË¹±¼³Û´´Òâ¹ã¸æ¡¶²»ÄÜ×²³µµÄÍæ¾ß³µ¡·,´´ÒâÕâÑùÍæ½Ð±ðÈËÔõ_»î£¿¿´²»ÄÜ×²³µµÄ±öÊ¿Íæ¾ß³µ,http://www.iqiyi.com/v_19rre485w4.html,12,2018/1/30,105,238,1.177254132,1,0.000120062,0.125634091,0.125634091
116277,2015/5/27 11:55,19,±¦Âí3Ïµ½Î³µ ¹Ù·½¹ã¸æÆ¬,,http://www.iqiyi.com/v_19rrojc0ek.html,13,2018/1/30,979,119,0.581644426,0.581644426,0.000163403,0.17098584,0.17098584
73421,2014/8/29 10:02,140,²ÖÊóÀ±ÃÃ Æû³µÆ·ÅÆ³¬ÃÈ´´Òâ¹ã¸æ,,http://www.iqiyi.com/v_19rrmn2kdk.html,14,2018/1/30,1250,59,0.280428752,0.280428752,0.001906811,1.995299545,1
1631867,2013/7/12 19:54,244,ÈýÌìµã»÷ÆÆ°ÙÍòµÄ ±¾ÌïÆû³µ´´Òâ¹ã¸æ,ÈýÌìµã»÷ÆÆ°ÙÍòµÄ£¬±¾ÌïÆû³µ´´Òâ¹ã¸æ¡£,http://www.iqiyi.com/v_19rrfvloyk.html,15,2018/1/30,1662,982,4.908404489,1,0.000149522,0.156460758,0.156460758
13623,2017/4/25 10:43,4,±£Ê±½ÝÄæÌì·þÎñ¹ã¸æ£ºÍÏÀ­»ú»»³¬ÅÜ,±£Ê±½ÝµÄÄæÌì·þÎñ¹ã¸æ£¬Ò»°Ù·Ö²»Ö¹£¡,http://www.iqiyi.com/v_19rrb2bel8.html,16,2018/1/30,280,49,0.230162645,0.230162645,0.000293621,0.307246962,0.307246962
183,2018/1/25 11:42,0,·áÌïÆû³µ¹ã¸æ Î´À´¿Æ¼¼¸ÅÄî¶ÌÆ¬¡¶°éÎÒÍ¬ÐÐ¡·,¶ÌÆ¬ÖÐÕâÁ¾¸ÅÄîÆû³µ¾ÍÏñ¼ÒÈËÒ»ÑùÅã°éÔÚÅµÍßÉí±ß£¬°éËûÍ¬ÐÐ¡£³ýÁËÎªÄãÌá¹©±ã½ÝµÄ¹¦ÄÜÐÔ·þÎñ£¬Ëü»¹×ã¹»ÁË½âÄã£¬ÔÚÄãµÍÂäÊ±»¹¶®µÃÈçºÎÌåÐôÄã£¬Õâ¾ÍÊÇÈË¹¤ÖÇÄÜµÄÉñÆæËùÔÚ£¬±ÈÄã»¹ÒªÁË½â×Ô¼ºµÄ¾ÍÊÇËüÁË¡£,http://www.iqiyi.com/v_19rrfsvnvc.html,17,2018/1/30,5,41,0.189161881,0.189161881,0,0,0
16000,2017/10/17 13:06,0,Æû³µ¹ã¸æÕâ¼þÊÂÒ»¶¨ÒªÔÚ³µÉÏ×ö,ÓÐÁËÕâÌ¨³µÄãÓÀÔ¶²»»áÏëÍ£ÏÂÀ´,http://www.iqiyi.com/v_19rre4iz30.html,18,2018/1/30,104,153,0.753853849,0.753853849,0,0,0
1979,2017/6/28 10:40,0,×îÐÂ°ÂµÏ¹ã¸æÐû´«Ô¤¸æÆ¬Ö©ÖëÏÀÓ¢ÐÛ¹éÀ´,×îÐÂ°ÂµÏ¹ã¸æÐû´«Ô¤¸æÆ¬Ö©ÖëÏÀÓ¢ÐÛ¹éÀ´,http://www.iqiyi.com/v_19rr7t5mz4.html,19,2018/1/30,216,9,0.031857444,0.031857444,0,0,0
2299,2017/11/14 11:44,0,Æû³µ¹ã¸æ¿´ÐÔ¸Ð»úÆ÷ÈË³µÄ£µÄÌ×Â·,2014ÄêÕâÄêkiaÆû³µ¹ã¸æÕæµÄºÜÓÐ¹£...,http://www.iqiyi.com/v_19rrdqinjs.html,20,2018/1/30,77,30,0.136484406,0.136484406,0,0,0
19681,2016/9/20 11:32,3,ºÃ±¯´ß£¡Ò»Ö»¹Âµ¥¿ÖÁúµÄ·³ÄÕ,"ºÃ±¯´ß£¡Ò»Ö»¹Âµ¥¿ÖÁúµÄ·³ÄÕ,ÓÐÁË°ÂµÏ×Ô¶¯¼ÝÊ»¹¦ÄÜ,ÂèÂèÔÙÒ²²»ÓÃµ£ÐÄÎÒ»á¹Âµ¥ÁËÄØ.",http://www.iqiyi.com/v_19rr9hyly4.html,21,2018/1/30,497,40,0.184568599,0.184568599,0.000152431,0.159505057,0.159505057
8594,2017/8/17 11:34,3,³¬Ä£ÞÉÃÎÑþÐÔ¸ÐÂ·»¢Æû³µ¹ã¸æ,×¥×¡ÏÄÌìµÄÐ¡Î²°Í£¬ÎÒºÍËûµÄÃØÃÜ¾ÍÒª¿ªÊ¼£¬ÎÒÃÇÖ®¼äµÄ¹ÊÊÂ¾¿¾¹»áÓÐÔõÑùµÄ½á¾Ö£¿¸ú×ÅÎÒµÄ½Å²½£¬¿ªÆôÃØÃÜÖ®ÂÃ°É~,http://www.iqiyi.com/v_19rr83t3i0.html,22,2018/1/30,166,52,0.246160003,0.246160003,0.000349081,0.365280315,0.365280315
117,2018/1/24 11:48,0,ÏÖ´úÆû³µ¡ª2017Äê³¬¼¶Íë¼ÍÂ¼Æ¬,2017µÚ51½ì³¬¼¶Íë¹ã¸æ£ºÏÖ´úÆû³µ¡ª³¬¼¶Íë¼ÍÂ¼Æ¬,http://www.iqiyi.com/v_19rrfjkqug.html,23,2018/1/30,6,21,0.092324274,0.092324274,0,0,0
